id,task,candidate,reference,primary,macro_f1_gain,group_ci_low,group_ci_high,randomization_p,holm_p,reference_errors,candidate_errors,rescued,harmed,net_corrections,both_wrong,both_correct,error_jaccard,prediction_disagreement_count,prediction_disagreement_rate,candidate_error_given_reference_error,candidate_error_given_reference_correct
polar9__vs__prior_incumbent,polar9,conservative_fusion,prior_incumbent,True,0.0015778003330679802,-0.0009068111767308761,0.0040780413621483375,0.22707729227077292,0.9083091690830917,380,369,44,33,11,336,6571,0.8135593220338984,82,0.011741122565864834,0.8842105263157894,0.004996971532404603
polar9__vs__replacement_fusion,polar9,conservative_fusion,replacement_fusion,False,0.0005640743047743424,-0.0018582182541694164,0.002966031615198681,0.6538346165383462,1.0,372,369,38,35,3,334,6577,0.8206388206388207,80,0.011454753722794959,0.8978494623655914,0.00529340592861464
polar9__vs__frozen_dinov2_base,polar9,conservative_fusion,frozen_dinov2_base,False,0.03691414130760029,0.03048424021458763,0.04327242605886799,9.999000099990002e-05,0.0017998200179982003,629,369,392,132,260,237,6223,0.3114323258869908,543,0.07774914089347079,0.3767885532591415,0.02077104642014162
polar9__vs__frozen_siglip2_base,polar9,conservative_fusion,frozen_siglip2_base,False,0.026666876910294235,0.020666449886502028,0.03261925803170114,9.999000099990002e-05,0.0017998200179982003,566,369,330,133,197,236,6285,0.3376251788268956,484,0.06930126002290951,0.4169611307420495,0.020722966656279214
polar9__vs__frozen_dinov3_base,polar9,conservative_fusion,frozen_dinov3_base,False,0.03388505747476456,0.027462592432148502,0.040451097425891105,9.999000099990002e-05,0.0017998200179982003,608,369,387,148,239,221,6228,0.2923280423280423,554,0.0793241695303551,0.36348684210526316,0.023212045169385194
polar9__vs__frozen_convnextv2_base,polar9,conservative_fusion,frozen_convnextv2_base,False,0.09709763701730545,0.08893062200610262,0.10536729597219602,9.999000099990002e-05,0.0017998200179982003,1055,369,812,126,686,243,5803,0.20575783234546993,979,0.14017754868270332,0.23033175355450236,0.021251475796930343
polar9__vs__adapted_siglip2,polar9,conservative_fusion,adapted_siglip2,False,0.01729918268670061,0.011704201388039792,0.022783550748702634,9.999000099990002e-05,0.0017998200179982003,492,369,246,123,123,246,6369,0.4,389,0.055698739977090496,0.5,0.018946395563770795
polar9__vs__adapted_convnextv2,polar9,conservative_fusion,adapted_convnextv2,False,0.09066848215828827,0.08233904989764444,0.09881094536809422,9.999000099990002e-05,0.0017998200179982003,1004,369,749,114,635,255,5866,0.22808586762075134,908,0.1300114547537228,0.2539840637450199,0.01906354515050167
polar9__vs__adapted_dinov2,polar9,conservative_fusion,adapted_dinov2,True,0.00678873728891316,0.003806302788073046,0.009867850208151807,9.999000099990002e-05,0.0017998200179982003,416,369,80,33,47,336,6535,0.7483296213808464,117,0.01675257731958763,0.8076923076923077,0.0050243605359317906
polar4__vs__prior_incumbent,polar4,conservative_fusion,prior_incumbent,True,0.004648666994381712,0.000636000141317275,0.008904574328401613,0.033096690330966905,0.19858014198580143,155,141,27,13,14,128,3161,0.7619047619047619,42,0.012616401321718233,0.8258064516129032,0.004095778197857593
polar4__vs__replacement_fusion,polar4,conservative_fusion,replacement_fusion,False,-0.004802621492724479,-0.009647957698776044,-0.00015462694375658473,0.051594840515948405,0.257974202579742,127,141,20,34,-14,107,3168,0.6645962732919255,55,0.016521477921297687,0.84251968503937,0.010618363522798251
polar4__vs__frozen_dinov2_base,polar4,conservative_fusion,frozen_dinov2_base,False,0.021223046849200844,0.014650664314728237,0.02784574426337067,9.999000099990002e-05,0.0017998200179982003,209,141,88,20,68,121,3100,0.5283842794759825,110,0.033042955842595374,0.5789473684210527,0.00641025641025641
polar4__vs__frozen_siglip2_base,polar4,conservative_fusion,frozen_siglip2_base,True,0.00020264994985264018,-0.005394307369003479,0.005965417816467845,0.9482051794820517,1.0,143,141,40,38,2,103,3148,0.569060773480663,83,0.02493241213577651,0.7202797202797203,0.011927181418706842
polar4__vs__frozen_dinov3_base,polar4,conservative_fusion,frozen_dinov3_base,False,0.021561395517294413,0.013567991524302546,0.029446990622769894,9.999000099990002e-05,0.0017998200179982003,208,141,111,44,67,97,3077,0.38492063492063494,158,0.04746170021027336,0.46634615384615385,0.014098045498237744
polar4__vs__frozen_convnextv2_base,polar4,conservative_fusion,frozen_convnextv2_base,False,0.07462388151541743,0.06435374228767608,0.08540931508316275,9.999000099990002e-05,0.0017998200179982003,380,141,271,32,239,109,2917,0.2645631067961165,309,0.092820666866927,0.2868421052631579,0.010851135978297729
polar4__vs__adapted_siglip2,polar4,conservative_fusion,adapted_siglip2,False,-0.00015575681879043124,-0.0065958851340113395,0.006177234376538858,0.958904109589041,1.0,141,141,48,48,0,93,3140,0.49206349206349204,99,0.029738660258335835,0.6595744680851063,0.015056461731493099
polar4__vs__adapted_convnextv2,polar4,conservative_fusion,adapted_convnextv2,False,0.05817977820252018,0.04835127492411594,0.06832273335419936,9.999000099990002e-05,0.0017998200179982003,323,141,226,44,182,97,2962,0.26430517711171664,279,0.08380895163712827,0.30030959752321984,0.014637391882900865
polar4__vs__historical_ensemble,polar4,conservative_fusion,historical_ensemble,True,0.012226864470797127,0.005732297784470672,0.019399656126987602,0.0005999400059994001,0.004199580041995801,181,141,75,35,40,106,3113,0.49074074074074076,113,0.03394412736557525,0.585635359116022,0.011118170266836086
