candidate_id,model_kind,stage,seed,selection_metric,oof_accuracy,oof_macro_f1,oof_weighted_f1,oof_balanced_accuracy,oof_log_loss,oof_brier_score,oof_ece,derived_final_epochs,cv_n_splits,test_evaluated,cfg_augmentation_strength,cfg_batch_size,cfg_head_lr,cfg_weight_decay,cfg_label_smoothing,cfg_dropout,cfg_mixup_alpha,cfg_unfreeze_strategy,cfg_backbone_lr,fold_best_epochs,fold_macro_f1,cfg_top_n_blocks
conv_randaugment_d10,convnext_small,coarse,42,pooled_oof_macro_f1,0.7231404958677686,0.7147476011681269,0.7165723683530033,0.7191697191697192,0.7726302496712942,0.43184183431665873,0.07056269369834714,6,3,False,mild_randaugment_light,4,0.001,0.0001,0.0,0.1,0.0,full_backbone,3e-05,"[11, 6, 3]","[0.7014142698236135, 0.7728229665071771, 0.6664330632878275]",
conv_base_d0,convnext_small,coarse,42,pooled_oof_macro_f1,0.7066115702479339,0.7071636631044133,0.7088792717858206,0.7052503052503053,0.7802308920710699,0.4391432041611736,0.10336228047520661,6,3,False,mild,4,0.001,0.0001,0.0,0.0,0.0,full_backbone,3e-05,"[6, 6, 12]","[0.7147361630976329, 0.7366892175973704, 0.6627997748851734]",
conv_base_d10,convnext_small,coarse,42,pooled_oof_macro_f1,0.7024793388429752,0.7002048561291431,0.7023473350528605,0.699969474969475,0.7315311758149554,0.4247524601640961,0.08034950445506196,5,3,False,mild,4,0.001,0.0001,0.0,0.1,0.0,full_backbone,3e-05,"[5, 7, 3]","[0.6834795321637426, 0.7665011459129106, 0.6443684984477969]",
conv_last_stage_d10,convnext_small,coarse,42,pooled_oof_macro_f1,0.7024793388429752,0.6990914660865265,0.7010452255222905,0.6995726495726496,0.7592703150142,0.44246488363012115,0.07785160285382232,6,3,False,mild,4,0.001,0.0001,0.0,0.1,0.0,last_stage,3e-05,"[6, 11, 2]","[0.6939010556031833, 0.7503267973856209, 0.6463195284502014]",
conv_mixup_d10,convnext_small,coarse,42,pooled_oof_macro_f1,0.6983471074380165,0.696253287335777,0.6980983289143841,0.6963217338217339,0.754096268763533,0.4406719722495361,0.08789566922778924,3,3,False,mild,4,0.001,0.0001,0.0,0.1,0.2,full_backbone,3e-05,"[3, 6, 2]","[0.6820339246809834, 0.7646866992778943, 0.6363669371675472]",
conv_fixed_val_d10,convnext_small,coarse,42,pooled_oof_macro_f1,0.6983471074380165,0.6942957479255459,0.6967235102741925,0.6953754578754578,0.751924217242209,0.44121849876105707,0.06182407347623968,6,3,False,mild,4,0.0003,0.0001,0.05,0.1,0.0,full_backbone,3e-05,"[11, 5, 6]","[0.6744974379188017, 0.7838312754568912, 0.6135332135141514]",
conv_head_only_d10,convnext_small,coarse,42,pooled_oof_macro_f1,0.6983471074380165,0.6931934946104764,0.6951177450613911,0.6950854700854702,0.807909460018972,0.47289467927135076,0.08794005843233473,7,3,False,mild,4,0.001,0.0001,0.0,0.1,0.0,head_only,3e-05,"[8, 7, 2]","[0.676766208597604, 0.7499498987314785, 0.6437950937950938]",
conv_no_erasing_d10,convnext_small,coarse,42,pooled_oof_macro_f1,0.6900826446280992,0.6887715549750917,0.6913956003060693,0.6876678876678876,0.773525637906947,0.449383841288903,0.09262009297520661,3,3,False,mild_no_random_erasing,4,0.001,0.0001,0.0,0.1,0.0,full_backbone,3e-05,"[7, 3, 2]","[0.6749978779390545, 0.7505426672093339, 0.6318181818181818]",
conv_randaugment_d0,convnext_small,confirm,42,pooled_oof_macro_f1,0.7396694214876033,0.736307254188049,0.7383484010926407,0.7374694749694749,0.727467964907414,0.41358406783969276,0.09726683561466942,5,5,False,mild_randaugment_light,4,0.001,0.0001,0.0,0.0,0.0,full_backbone,3e-05,"[5, 5, 5, 5, 2]","[0.6944444444444443, 0.7904911180773251, 0.731774761186526, 0.7716608010725657, 0.6884384384384384]",
conv_randaugment_d10,convnext_small,confirm,42,pooled_oof_macro_f1,0.7355371900826446,0.7317422069229297,0.7338962461415912,0.7331959706959706,0.7481656334275049,0.42159853892599447,0.12012223172778927,6,5,False,mild_randaugment_light,4,0.001,0.0001,0.0,0.1,0.0,full_backbone,3e-05,"[8, 13, 6, 6, 1]","[0.6808278867102396, 0.8055886322140191, 0.7197503398838215, 0.7505718954248367, 0.6884384384384384]",
conv_base_d0,convnext_small,confirm,42,pooled_oof_macro_f1,0.7231404958677686,0.7191123415069276,0.7211721498592548,0.7207875457875458,0.7503230812165208,0.4227244902726948,0.07988846203512395,6,5,False,mild,4,0.001,0.0001,0.0,0.0,0.0,full_backbone,3e-05,"[18, 4, 6, 6, 3]","[0.6875816993464051, 0.767002296414061, 0.7196223316912972, 0.7483405483405484, 0.6662337662337662]",
conv_base_d10,convnext_small,confirm,42,pooled_oof_macro_f1,0.7148760330578512,0.7131163084954105,0.71488111116263,0.7134615384615385,0.7499897341419285,0.42877496826964756,0.07670454545454546,7,5,False,mild,4,0.001,0.0001,0.0,0.1,0.0,full_backbone,3e-05,"[10, 3, 7, 12, 2]","[0.6679738562091503, 0.7520467836257311, 0.6944444444444445, 0.7493464052287582, 0.6908705940964005]",
dino_full_d10,dinov2_small,coarse,42,pooled_oof_macro_f1,0.7520661157024794,0.7536298757228991,0.7543297670147564,0.751953601953602,0.7557168906143548,0.4057534087677031,0.11540991412706614,4,3,False,moderate,4,0.001,0.0001,0.0,0.1,0.0,full_backbone,5e-06,"[3, 4, 5]","[0.7556787082649151, 0.7558521782327912, 0.749636985545625]",
dino_top2_wd5e4_d10,dinov2_small,coarse,42,pooled_oof_macro_f1,0.731404958677686,0.7327883308343441,0.7340918147887073,0.7304639804639805,0.6782196039136554,0.3846801185157407,0.11098410866477273,9,3,False,moderate,4,0.001,0.0005,0.0,0.1,0.0,top_blocks,5e-06,"[12, 5, 9]","[0.7617477293947882, 0.6699999999999999, 0.7633651259476645]",2.0
dino_top2_d10,dinov2_small,coarse,42,pooled_oof_macro_f1,0.731404958677686,0.7326074350879453,0.7339887325853554,0.7304639804639805,0.6791122008723164,0.3856266247588588,0.1134285414514463,9,3,False,moderate,4,0.001,0.0001,0.0,0.1,0.0,top_blocks,5e-06,"[12, 5, 9]","[0.7617477293947882, 0.6699999999999999, 0.7633651259476645]",2.0
