kernel,C,gamma,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece
rbf,1.0,scale,0.7396694214876033,0.738976742321224,0.7408323454648671,0.7378968253968253,0.6552049051113801,0.3793951670821635,0.0900408238835844
rbf,1.0,0.001,0.7396694214876033,0.7387445887445887,0.7404905012343029,0.7378968253968253,0.6598447559314533,0.38168352137689554,0.08607820035471102
rbf,10.0,scale,0.7355371900826446,0.7356532254588902,0.7372637903301973,0.7342338217338217,0.6632893407186207,0.3857174771481023,0.09006859236057622
rbf,100.0,scale,0.7355371900826446,0.7356532254588902,0.7372637903301973,0.7342338217338217,0.6632893407186207,0.3857174771481023,0.09006859236057622
rbf,10.0,0.001,0.731404958677686,0.7310148838555074,0.732773632814768,0.7297619047619047,0.6754886180556394,0.3936747525784178,0.0765399840118624
rbf,100.0,0.001,0.731404958677686,0.7310148838555074,0.732773632814768,0.7297619047619047,0.6754886180556394,0.3936747525784178,0.0765399840118624
linear,0.1,scale,0.6652892561983471,0.6641827678525255,0.6661760045637849,0.6632326007326007,0.7548426848389844,0.4457116228135476,0.061227701657445226
linear,1.0,scale,0.6652892561983471,0.6641827678525255,0.6661760045637849,0.6632326007326007,0.7548426848389844,0.4457116228135476,0.061227701657445226
linear,10.0,scale,0.6652892561983471,0.6641827678525255,0.6661760045637849,0.6632326007326007,0.7548426848389844,0.4457116228135476,0.061227701657445226
linear,100.0,scale,0.6652892561983471,0.6641827678525255,0.6661760045637849,0.6632326007326007,0.7548426848389844,0.4457116228135476,0.061227701657445226
linear,0.01,scale,0.6652892561983471,0.6641827678525255,0.6661760045637849,0.6632326007326007,0.7548447569749552,0.4457127922206556,0.061229230245672894
rbf,0.1,0.01,0.32231404958677684,0.23276886512180628,0.23108454501259557,0.32844932844932845,1.1254991680093864,0.6844691892837101,0.09794646581011535
rbf,0.1,0.1,0.32231404958677684,0.23276886512180628,0.23108454501259557,0.32844932844932845,1.12610654604411,0.6848481489853152,0.09915317119254619
rbf,0.1,scale,0.3140495867768595,0.22775013819789938,0.2261420171867933,0.31990231990231993,1.1219742020334684,0.6819069008012484,0.05521369248485891
rbf,0.1,0.001,0.30165289256198347,0.2224152753269083,0.22112727407345914,0.3067765567765568,1.1199895704936507,0.6806478090933238,0.0628723033777594
rbf,10.0,0.1,0.34710743801652894,0.17177914110429449,0.1788774527201744,0.3333333333333333,1.0982832357583086,0.6664458199257894,0.0016448509710450532
rbf,100.0,0.1,0.34710743801652894,0.17177914110429449,0.1788774527201744,0.3333333333333333,1.0982832357583086,0.6664458199257894,0.0016448509710450532
rbf,1.0,0.1,0.34710743801652894,0.17177914110429449,0.1788774527201744,0.3333333333333333,1.098494917731527,0.6665877541369952,0.00268654614185726
rbf,1.0,0.01,0.30578512396694213,0.15611814345991562,0.16256930641280468,0.29365079365079366,1.1108205901284094,0.67449458860318,0.052492158453088245
rbf,10.0,0.01,0.2975206611570248,0.15286624203821655,0.1591830288992999,0.2857142857142857,1.1153595219455608,0.6770114536896228,0.055934342071102976
rbf,100.0,0.01,0.2975206611570248,0.15286624203821655,0.1591830288992999,0.2857142857142857,1.1153595219455608,0.6770114536896228,0.055934342071102976
