kernel,C,gamma,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece
rbf,1.0,scale,0.7727272727272727,0.7722648567498945,0.7736494640166619,0.771443833943834,0.5261043840136623,0.30980129105622095,0.05399825262294696
rbf,1.0,0.001,0.7727272727272727,0.7716848150832094,0.7729901569708928,0.7715354090354092,0.5230812910076158,0.30685330292445917,0.05071401123112338
rbf,10.0,scale,0.768595041322314,0.7682966027816406,0.7695172326117032,0.76747557997558,0.5265860809988282,0.3107111979374316,0.047913759788930955
rbf,100.0,scale,0.768595041322314,0.7682966027816406,0.7695172326117032,0.76747557997558,0.5265860809988282,0.3107111979374316,0.047913759788930955
linear,0.01,scale,0.7603305785123967,0.7620608860518451,0.762900175528232,0.7596459096459096,0.562077276298329,0.330465313453542,0.059300076708515184
linear,0.1,scale,0.7603305785123967,0.7617524855886458,0.7626700057230551,0.7596459096459096,0.5617808952955528,0.33043560352034645,0.06501404093863075
linear,1.0,scale,0.7603305785123967,0.7617524855886458,0.7626700057230551,0.7596459096459096,0.5617808952955528,0.33043560352034645,0.06501404093863075
linear,10.0,scale,0.7603305785123967,0.7617524855886458,0.7626700057230551,0.7596459096459096,0.5617808952955528,0.33043560352034645,0.06501404093863075
linear,100.0,scale,0.7603305785123967,0.7617524855886458,0.7626700057230551,0.7596459096459096,0.5617808952955528,0.33043560352034645,0.06501404093863075
rbf,10.0,0.001,0.7603305785123967,0.7599218561832634,0.7611663802882597,0.7588369963369962,0.532178024871072,0.3131349372308867,0.07003034867470555
rbf,100.0,0.001,0.7603305785123967,0.7599218561832634,0.7611663802882597,0.7588369963369962,0.532178024871072,0.3131349372308867,0.07003034867470555
rbf,10.0,0.01,0.7024793388429752,0.7082126066701119,0.7092266514565347,0.7021062271062272,0.833789924621775,0.48897488759075336,0.22681687169557094
rbf,100.0,0.01,0.7024793388429752,0.7082126066701119,0.7092266514565347,0.7021062271062272,0.833789924621775,0.48897488759075336,0.22681687169557094
rbf,1.0,0.01,0.6818181818181818,0.6806113750150691,0.682021954459297,0.6777930402930403,0.9199187274633861,0.5451191971634551,0.25864733229710496
rbf,0.1,0.001,0.32231404958677684,0.31881611295482354,0.3180252695011874,0.32545787545787547,1.0958252198570444,0.6648665992942022,0.031031146372365648
rbf,0.1,0.01,0.32231404958677684,0.23276886512180628,0.23108454501259557,0.32844932844932845,1.1245461290708456,0.6838120510502127,0.09278946330788099
rbf,0.1,0.1,0.32231404958677684,0.23276886512180628,0.23108454501259557,0.32844932844932845,1.1261065434093618,0.684848147375072,0.09915316695297305
rbf,0.1,scale,0.2975206611570248,0.2278044619797772,0.22651585445642317,0.3027014652014652,1.1055725367048281,0.671312212919317,0.05753243075882758
rbf,10.0,0.1,0.34710743801652894,0.17177914110429449,0.1788774527201744,0.3333333333333333,1.0982832864510712,0.6664458545496561,0.0016448499572919717
rbf,100.0,0.1,0.34710743801652894,0.17177914110429449,0.1788774527201744,0.3333333333333333,1.0982832864510712,0.6664458545496561,0.0016448499572919717
rbf,1.0,0.1,0.34710743801652894,0.17177914110429449,0.1788774527201744,0.3333333333333333,1.0984949381927631,0.6665877681216035,0.0026866567558850307
