image_id,split,label,label_index,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,image_sha256,annotation_sha256,source_group
p1_00001,train,standing,1,269,125,348,237,6fee36e156d9cefd6c11468c6b606f865fcfb64fa2a2543554a506db9160e466,ea63869fcf330aca20d43b0edfdc5bb3a94539d59ebd52a02aa3343e51576baa,source_p1_00001
p1_00002,train,bending,4,0,191,359,459,6f845a9ef53c26542ad081bf812bc580ef967df7fb3e03835178c70d838c637a,87974d1ea551983f225a148ce5d75166917a7674dc7b4fc1bcd2e7501eb59483,source_p1_00002
p1_00003,val,standing,1,14,214,234,506,df49f4b8f7d95ec291492ac1db440c7eae8834091b5fe706f1b0ce1d30afd7e4,13df04bfd64e6af944ad6401e73a9c3677e418242eb8ab04b2ba7e8ff8c4d8f3,source_p1_00003
p1_00004,test,jumping,5,84,125,191,388,8b33ae7a73db35cc4bdaa4c8c8ac4c0113a544505ffb484c1fb2c7efcc75bf44,e27a98748952ea661eb943b12ee20ba49d47adc26b2c117564e4d5216649aba9,source_p1_00004
p1_00005,train,standing,1,62,35,247,459,ffdc5b72b166660325670910a416fc88e075f25c12231f9712647647d6503676,03d7cf30e8bb675f7158910311fa68df92f35f9d1d62edc7fdc49d635a1c5ab2,source_p1_00005
p1_00006,train,jumping,5,132,46,227,335,16c80ab6b660df603c3df380b2507fada17b28d8ac1b372af45514f4d42b50ec,716d0e01deeb7e63d98d68e949e8061c1389c842ce63861df07c6fbc2c75f0b5,source_p1_00006
p1_00007,val,running,3,199,74,230,192,2193fccbab1a61ee5a5bdf1c958642067c34d958d9309c16a2bf48d312f37da1,e75f8b7d125f7c509bb86d12cb32cbbf670e1d043d6c86948a881127df13450e,source_p1_00007
p1_00008,train,stretching,8,173,53,299,380,fb47780260384121a36a778dca07f1ebbc6279e6a6a0ffeb8d55f81e95ba240b,1c04d10f90b7cb0a6ff7102f28435d73c5aede519dd507644b4b752ce6cfa34c,source_p1_00008
p1_00009,test,lying,6,101,129,172,186,08fe34fa6dd8ebf6c6fa8bcfa30515088ef21acb814e994b8d5fd1c72d906f8d,b31309181cd6370bd55d2ea66917ab1ea372e54b23b88bc7b2366fe1748bd840,source_p1_00009
p1_00010,train,jumping,5,113,101,209,479,e05b34e8fea6a6e67f587e76bfa63075769c87c90ff4faa8cf368ed63790c1bf,91a661fb31e7762dabf6abfe16bad52792854910a7e43f674b8b0608b8f1ad4e,source_p1_00010
