image_id,split,label,label_index,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,image_sha256,annotation_sha256,source_group
p1_00305,test,walking,2,14,5,297,435,f60a5735263ac2e68ec0c5caf77382c82444a87a303e75acad7e92fefd1ec6df,887d3c7189974a831c12849a25aac2403c21c0c9622442845c1aedfb1c132f25,source_p1_00305
p1_00819,train,stretching,8,113,104,268,491,f465497f3e3b1d0009270df9c3e4de3f4f62dd2e8134f2b11d98dcabb2bed816,c64bd70b4303963c994f49fa4a92cf91ebc02f6dff6ffea5eec69435f34e1b51,source_p1_00819
p1_00887,train,stretching,8,33,0,89,162,f93f2e5fc4fc00054b2e7b2f21c53ed878d0b6474b0fc8f32976cfddaa6cf17d,b85821098fa9c15695669e5fe618cb4756030b233b51a1073fe25e983d918b90,source_p1_00887
p1_01038,train,walking,2,157,23,247,341,111c0f1eb51a9f17c29a253fb8405cf501ad6a49e3fd47b88dfb42d3e42fa729,ba1e70b9157e812cd693a0422cafcc48aa37703a35d4f5da8b80770487182166,source_p1_01038
p1_01059,train,stretching,8,99,0,243,464,a8bf5517d39836e4c2035dca92e5d7d1cfab25a4432e2b07740430ccb5c54632,fc037318fd6457b7542689d105db44e584862854a117cd645ebba2cafc27e16b,source_p1_00887
p1_01131,val,jumping,5,288,13,504,265,1eecd3ab33dbbd678343159086a0ef01860a7f8b6d226076d33c3122b820580c,ba3193837e94a8d4efd1fbebc4041471572b9bc48d9ef1083461139599e48125,source_p1_01131
p1_01165,train,sitting,0,46,107,371,445,c3b833853f3445aae2720b3e621700e2195cceaf3660f30e43ea836a3c9d1c62,4543f4f44edf4e5135dc6fae85e9ee46d0b571bf1936439999f43a8798e39313,source_p1_01165
p1_01667,val,standing,1,229,172,277,309,7b47106975871c6849bf16a1f270cc338353cb6c3f6dd3b7959e5ba86d6fc011,2dd0f60c96550b706c2d0800a6419710a46d67d606a774e18156f94feecba995,source_p1_01667
p1_01757,test,stretching,8,57,21,233,410,47841d37e2b26494d73d9558e18ab5bdf9a08e098ca59650f4f81b9689c7eccb,08a8db3f09c6f9e95220be1df6bf0c20f488310402358b2ff709218f12e9f51e,source_p1_01757
p1_01760,val,sitting,0,13,50,396,505,10a0df8a968564d76b0a8501f3e262a5b41c7a2200468c3d9ef1b950c0b6647e,d436962ad1dc78995dea36bdbdf68bb84c87d03bbda58e6a1975ef9d61c699e2,source_p1_01760
p1_01905,train,bending,4,115,123,366,560,c2838f595c5523f9eb0a043cab9a612bcdc796e91a67f34ad1d142bdf12b92cf,6b00036c2c200f10b3ca3070786ec6add42c0ef88845b389e0a6ff713262024c,source_p1_01905
