family,class,rows,mean_absolute_probability_drift,median_absolute_probability_drift,prediction_flips,clean_accuracy,fault_accuracy,changed_prediction_margin_median,stable_prediction_margin_median
convnext_small_full,sitting,64,0.014071378068993317,5.915342411260571e-06,2,0.9375,0.9375,,
convnext_small_full,standing,64,0.010490408163133376,0.0008766814378768773,0,0.875,0.875,,
convnext_small_full,walking,64,0.01701354491458886,0.004838608348897412,0,0.875,0.875,,
convnext_small_full,running,64,0.006686408509999575,0.00011436008555972831,2,0.90625,0.90625,,
convnext_small_full,all,256,0.012065434914178783,0.0004584831629219964,4,0.8984375,0.8984375,0.21781543490139477,0.9960531210372905
dinov2_base_top4,sitting,64,0.0026494058477553304,5.591086884283126e-07,0,0.96875,0.96875,,
dinov2_base_top4,standing,64,0.004552104200101585,8.234973402980068e-05,0,0.984375,0.984375,,
dinov2_base_top4,walking,64,0.015982430300154955,0.0008729635240352037,5,0.890625,0.8125,,
dinov2_base_top4,running,64,0.001735478520229988,6.782118404988437e-06,0,0.96875,0.96875,,
dinov2_base_top4,all,256,0.006229854717060464,1.6069586041857632e-05,5,0.953125,0.93359375,0.08550963441028464,0.9998982320155437
