domain,stratum,left,right,point_estimate,ci_95_low,ci_95_high,probability_difference_gt_zero,resamples,seed,analysis_role
POLAR,bbox_Q1,locked_ensemble,dinov2_base_multilayer_rbf,0.03052604609351872,0.016750618211387812,0.0451736523237094,1.0,10000,20260823,posthoc_exploratory
POLAR,bbox_Q2,locked_ensemble,dinov2_base_multilayer_rbf,0.006383219735161649,-0.007177278082443918,0.019914422504805403,0.8307,10000,20260824,posthoc_exploratory
POLAR,bbox_Q3,locked_ensemble,dinov2_base_multilayer_rbf,0.0091528359842169,0.0001638774214568817,0.01883098290777323,0.9763,10000,20260825,posthoc_exploratory
POLAR,bbox_Q4,locked_ensemble,dinov2_base_multilayer_rbf,0.002570528684590956,-0.004860924855665053,0.01137882755100766,0.7196,10000,20260826,posthoc_exploratory
POLAR,all,dinov2_base_multilayer_rbf,dinov2_base_multilayer_logistic,0.0016005122891991075,-0.005053534007169694,0.008525694121685799,0.6843,10000,20260833,posthoc_exploratory
POLAR,all,dinov2_base_top4,dinov2_base_multilayer_logistic,-0.0005701204154022754,-0.009749036765802618,0.008761419537022546,0.4612,10000,20260836,posthoc_exploratory_pipeline_comparison
V-COCO,image_all,dinov2_base_top4,dinov2_base_multilayer_logistic,0.03403477946698685,0.024175501740039407,0.04420082694757273,1.0,10000,20260838,posthoc_exploratory_pipeline_comparison
POLAR,all,dinov2_base_top4,dinov2_base_multilayer_rbf,-0.002170632704601383,-0.011361903994321826,0.007049834578076961,0.3187,10000,20260837,posthoc_exploratory_pipeline_comparison
V-COCO,image_all,dinov2_base_top4,dinov2_base_multilayer_rbf,0.022820540377889165,0.012505118086643792,0.03333374389718411,1.0,10000,20260839,posthoc_exploratory_pipeline_comparison
POLAR,all,locked_ensemble,equal_weight_sensitivity_blend,0.00034069789270607664,-0.001232788992774031,0.0019783173447606465,0.6662,10000,20260834,posthoc_sensitivity
V-COCO,image_all,dinov2_base_top4,locked_ensemble_collapsed,0.006255136874046885,-0.0016212770461903085,0.014113658033813441,0.9413,10000,20260835,posthoc_exploratory
