training_rows,class,class_f1,total_errors,adjacent_state_errors,adjacent_state_error_fraction,analysis_role
242,sitting,0.9436893203883495,469,413,0.8805970149253731,posthoc_fixed_curve_decomposition
242,standing,0.8338590956887487,469,413,0.8805970149253731,posthoc_fixed_curve_decomposition
242,walking,0.7380766223612197,469,413,0.8805970149253731,posthoc_fixed_curve_decomposition
242,running,0.8789808917197452,469,413,0.8805970149253731,posthoc_fixed_curve_decomposition
500,sitting,0.9571713147410359,396,346,0.8737373737373737,posthoc_fixed_curve_decomposition
500,standing,0.8649203903441192,396,346,0.8737373737373737,posthoc_fixed_curve_decomposition
500,walking,0.7748031496062993,396,346,0.8737373737373737,posthoc_fixed_curve_decomposition
500,running,0.8901329601119664,396,346,0.8737373737373737,posthoc_fixed_curve_decomposition
1000,sitting,0.969,361,314,0.8698060941828255,posthoc_fixed_curve_decomposition
1000,standing,0.8819621870209504,361,314,0.8698060941828255,posthoc_fixed_curve_decomposition
1000,walking,0.7816277195809831,361,314,0.8698060941828255,posthoc_fixed_curve_decomposition
1000,running,0.8914835164835165,361,314,0.8698060941828255,posthoc_fixed_curve_decomposition
3000,sitting,0.9745889387144993,312,273,0.875,posthoc_fixed_curve_decomposition
3000,standing,0.8939472322814278,312,273,0.875,posthoc_fixed_curve_decomposition
3000,walking,0.8102643856920684,312,273,0.875,posthoc_fixed_curve_decomposition
3000,running,0.9131652661064426,312,273,0.875,posthoc_fixed_curve_decomposition
9958,sitting,0.9815277084373439,259,235,0.9073359073359073,posthoc_fixed_curve_decomposition
9958,standing,0.9147609147609148,259,235,0.9073359073359073,posthoc_fixed_curve_decomposition
9958,walking,0.8370313695485846,259,235,0.9073359073359073,posthoc_fixed_curve_decomposition
9958,running,0.9267605633802817,259,235,0.9073359073359073,posthoc_fixed_curve_decomposition
