evaluation_unit,candidate,class,precision,recall,f1,support
image,convnext_small_full,sitting,0.7876420454545454,0.9030944625407166,0.8414264036418816,1228
image,convnext_small_full,standing,0.8219954648526077,0.37918410041841005,0.5189692197566214,1912
image,convnext_small_full,walking_running,0.35690006798096535,0.8454106280193237,0.5019120458891013,621
image,dinov2_base_multilayer_logistic,sitting,0.9300986842105263,0.9210097719869706,0.925531914893617,1228
image,dinov2_base_multilayer_logistic,standing,0.8837803320561941,0.3619246861924686,0.513543599257885,1912
image,dinov2_base_multilayer_logistic,walking_running,0.32349602724177073,0.9178743961352657,0.4783885858161981,621
image,dinov2_base_multilayer_rbf,sitting,0.9409691629955947,0.8697068403908795,0.9039356749894202,1228
image,dinov2_base_multilayer_rbf,standing,0.83881230116649,0.41370292887029286,0.5541155866900175,1912
image,dinov2_base_multilayer_rbf,walking_running,0.3374925727866904,0.9146537842190016,0.4930555555555556,621
image,dinov2_base_top4,sitting,0.9052132701421801,0.9332247557003257,0.9190056134723336,1228
image,dinov2_base_top4,standing,0.8831725616291533,0.4309623430962343,0.5792618629173989,1912
image,dinov2_base_top4,walking_running,0.36427656850192064,0.9162640901771336,0.5213009619789281,621
image,dinov2_small_moderate,sitting,0.8883647798742138,0.9201954397394136,0.904,1228
image,dinov2_small_moderate,standing,0.8457269700332963,0.3985355648535565,0.5417703519374334,1912
image,dinov2_small_moderate,walking_running,0.3413098236775819,0.8727858293075684,0.4907197827071073,621
image,direct_three_class_probe,sitting,0.9320785597381342,0.9275244299674267,0.929795918367347,1228
image,direct_three_class_probe,standing,0.8849557522123894,0.36610878661087864,0.5179430262671106,1912
image,direct_three_class_probe,walking_running,0.32608695652173914,0.9178743961352657,0.48121570282819753,621
image,locked_ensemble_collapsed,sitting,0.9284552845528455,0.9299674267100977,0.9292107404393816,1228
image,locked_ensemble_collapsed,standing,0.8984018264840182,0.41161087866108786,0.5645624103299857,1912
image,locked_ensemble_collapsed,walking_running,0.3486404833836858,0.92914653784219,0.5070298769771528,621
person,convnext_small_full,sitting,0.7438704028021016,0.8615618661257607,0.7984022556390977,1972
person,convnext_small_full,standing,0.7991874637260592,0.4041678896389786,0.5368421052631579,3407
person,convnext_small_full,walking_running,0.39080896315989366,0.8160190325138779,0.5285053929121726,1261
person,dinov2_base_multilayer_logistic,sitting,0.9222222222222223,0.8838742393509128,0.9026411185914034,1972
person,dinov2_base_multilayer_logistic,standing,0.8850502512562815,0.41356031699442325,0.5637127425485097,3407
person,dinov2_base_multilayer_logistic,walking_running,0.36732108929702345,0.9199048374306106,0.5250056573885494,1261
person,dinov2_base_multilayer_rbf,sitting,0.9286536248561565,0.8184584178498986,0.8700808625336928,1972
person,dinov2_base_multilayer_rbf,standing,0.8346456692913385,0.4666862342236572,0.598644578313253,3407
person,dinov2_base_multilayer_rbf,walking_running,0.38071404738071407,0.9048374306106265,0.5359323626115547,1261
person,dinov2_base_top4,sitting,0.8866133866133866,0.9001014198782962,0.8933064921992954,1972
person,dinov2_base_top4,standing,0.8593834505137913,0.4663927208687995,0.6046423135464232,3407
person,dinov2_base_top4,walking_running,0.4051631409107207,0.8961141950832673,0.5580246913580247,1261
person,dinov2_small_moderate,sitting,0.8680555555555556,0.8874239350912779,0.8776328986960883,1972
person,dinov2_small_moderate,standing,0.8382352941176471,0.4349867918990314,0.5727536231884058,3407
person,dinov2_small_moderate,walking_running,0.38375350140056025,0.8691514670896114,0.5324265241680836,1261
person,direct_three_class_probe,sitting,0.9204604918890633,0.8919878296146044,0.9060005150656709,1972
person,direct_three_class_probe,standing,0.8817672682016179,0.4159084238332844,0.5652173913043478,3407
person,direct_three_class_probe,walking_running,0.3683536194746957,0.9119746233148295,0.5247547342003194,1261
person,locked_ensemble_collapsed,sitting,0.9124805800103574,0.8935091277890467,0.902895208813733,1972
person,locked_ensemble_collapsed,standing,0.8850114416475973,0.4540651599647784,0.6001939864209506,3407
person,locked_ensemble_collapsed,walking_running,0.39142181695373185,0.9191118160190325,0.5490288962576978,1261
