task,candidate,classifier,C,class_weight,feature_dimensions,train_rows,validation_rows,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece,fit_seconds,iterations,screen,converged
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_10,standardized_multinomial_logistic,0.001,none,7680,9958,3327,0.9588217613465584,0.9584337148723924,0.95868390414474,0.9579574284729404,0.1137991382149092,0.0628815956607535,0.0184677319533443,11.261011999973562,270,official_multilayer,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_10,standardized_multinomial_logistic,0.001,balanced,7680,9958,3327,0.9570183348361888,0.9568357830401416,0.9570103309366136,0.9576935438084232,0.1139266968761703,0.0635932317324748,0.0147843474989009,9.65720220003277,233,official_multilayer,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_10,standardized_multinomial_logistic,0.01,none,7680,9958,3327,0.955214908325819,0.954793114626753,0.9551356087138836,0.9544754648498488,0.1189486099274274,0.0650765175781665,0.0131438094791339,9.813105100009125,238,official_multilayer,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_10,standardized_multinomial_logistic,0.1,none,7680,9958,3327,0.9546137661556958,0.9542636676273512,0.9545469348509223,0.9539852687714176,0.1552420354957495,0.0726050389507232,0.0265911485563616,11.44738480000524,282,official_multilayer,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_10,standardized_multinomial_logistic,0.1,balanced,7680,9958,3327,0.9543131950706342,0.9540349873518836,0.954286146424308,0.9541386134598616,0.1547073876997601,0.0727756609021175,0.0252452274058315,11.835197200009134,282,official_multilayer,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_10,standardized_multinomial_logistic,0.01,balanced,7680,9958,3327,0.9543131950706342,0.9539883880000408,0.9542821063530388,0.9541386134598616,0.1186114568924566,0.0654320254426454,0.0140645690762498,11.130758500017691,281,official_multilayer,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_10,standardized_multinomial_logistic,0.0001,none,7680,9958,3327,0.94980462879471,0.9488937858200384,0.9495562341952158,0.9477954052355172,0.1656394082011178,0.0843817835625808,0.0576607504138303,3.855708400020376,82,official_multilayer,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_10,standardized_multinomial_logistic,0.0001,balanced,7680,9958,3327,0.9489029155395252,0.9486043296554202,0.9489786897909768,0.9498492102114888,0.1658695338210533,0.0846679777073069,0.0557660846259868,3.3487618999788538,69,official_multilayer,True
label_3,dinov2_base__full_frame,standardized_multinomial_logistic,0.001,none,3840,9958,3327,0.948301773369402,0.9477861103035716,0.9482685962546276,0.9469170164446336,0.1466790848100885,0.0800626757476314,0.0263686746170598,4.088662099966314,155,official_multilayer,True
label_3,dinov2_base__full_frame,standardized_multinomial_logistic,0.001,balanced,3840,9958,3327,0.9461977757739706,0.9458802087831292,0.9463116640313084,0.946484893647221,0.1470030955677717,0.0806797158920358,0.0244871000595207,3.954921900003683,152,official_multilayer,True
label_3,dinov2_base__full_frame,standardized_multinomial_logistic,0.01,none,3840,9958,3327,0.9452960625187856,0.9448388778561028,0.9452724779625082,0.943967982642902,0.1435142504597351,0.0814446399882531,0.0097273274154554,5.353848300001118,225,official_multilayer,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_10,standardized_multinomial_logistic,0.01,balanced,1536,9958,3327,0.9437932070934776,0.9437892104802512,0.9438303990449868,0.9443448709369994,0.1475291887628887,0.082825762938873,0.0118769898382211,2.3281818999676034,124,capacity_base,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_25,standardized_multinomial_logistic,0.01,balanced,1536,9958,3327,0.943492636008416,0.9434171796417768,0.9435221615453204,0.9444640894620516,0.1484171431628681,0.0841538435754092,0.0119113426357407,3.354498800006695,117,capacity_base,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_10,standardized_multinomial_logistic,0.01,none,1536,9958,3327,0.943492636008416,0.9433182314845036,0.9433690177400428,0.9426824725753796,0.1467556408238614,0.0822561887895113,0.0121966513286558,2.895280299999285,132,capacity_base,True
label_3,dinov2_base__full_frame,standardized_multinomial_logistic,0.01,balanced,3840,9958,3327,0.943492636008416,0.9432488134598268,0.9436049983914252,0.9435817365208752,0.1434590199268676,0.0819819453144651,0.0135055233173632,5.1650524999713525,202,official_multilayer,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_25,standardized_multinomial_logistic,0.01,none,1536,9958,3327,0.9428914938382928,0.9425407658150408,0.9428091701422386,0.9425907192246082,0.1478514606029938,0.0840481835347716,0.0102607031847329,3.0226712999865413,110,capacity_base,True
