quarantine_group,image_id,split,label_4,label_3,sha256,phash,exclusion_reason
source_leakage_0001,p1_00305,test,walking,walking_running,f60a5735263ac2e68ec0c5caf77382c82444a87a303e75acad7e92fefd1ec6df,c5263fe0c91fdc18,cross_split_source_related
source_leakage_0001,p1_13045,train,walking,walking_running,e4368a95dd3f4db1e9c1de2acc556fc3933261af83c495b478913f466bba82b3,c5263fe0c91fdc18,cross_split_source_related
source_leakage_0002,p1_01038,train,walking,walking_running,111c0f1eb51a9f17c29a253fb8405cf501ad6a49e3fd47b88dfb42d3e42fa729,b70dcf688897705c,cross_split_source_related
source_leakage_0002,p1_03924,val,walking,walking_running,9db580c3dbe12f784ccf5f52cb49657e46f700fb565a8e9f1362d0af5437f106,b70dcf68889370dc,cross_split_source_related
source_leakage_0003,p1_01165,train,sitting,sitting,c3b833853f3445aae2720b3e621700e2195cceaf3660f30e43ea836a3c9d1c62,9920c61f6c3359ed,cross_split_source_related
source_leakage_0003,p1_13984,test,sitting,sitting,5fbab281c83ddb94dd44e1a7dc4924ba0ccba4b2789e36a98242b863bd627629,b920c61f6c3259ed,cross_split_source_related
source_leakage_0004,p1_01667,val,standing,standing,7b47106975871c6849bf16a1f270cc338353cb6c3f6dd3b7959e5ba86d6fc011,9e9ef73230800fc7,cross_split_source_related
source_leakage_0004,p1_06059,train,standing,standing,249eb19c9d7d12d9157d1d262bfc00725160027f133cf8894b235d11e18de37f,9f8ef73230900ec7,cross_split_source_related
source_leakage_0004,p1_15142,val,standing,standing,daa79311d2d58eac6717e33f98d5533d089eb583656a4fbc210cfa24f17251ce,9e9ef73230800fc7,cross_split_source_related
source_leakage_0005,p1_01760,val,sitting,sitting,10a0df8a968564d76b0a8501f3e262a5b41c7a2200468c3d9ef1b950c0b6647e,8d3a641973675e8c,cross_split_source_related
source_leakage_0005,p1_21347,train,sitting,sitting,1ebdd720d27e44bff4c2bf936044f16b61092cc65a1a788d6fbafb454b481c72,8d3a641973675e8c,cross_split_source_related
source_leakage_0006,p1_02469,test,standing,standing,1572a34526c3158104a8fa9c5296f2818ec019a021c56b22685799f9b8ca0312,afd010df6c94c770,cross_split_source_related
source_leakage_0006,p1_03578,test,standing,standing,82b90ef2f2c53f6e7105a24373a052bea0f62fd42d167145adc7f043dc852de8,afd010df6c90c778,cross_split_source_related
source_leakage_0006,p1_15157,train,standing,standing,e28b4961baf141ce2e94cf7f01214a95ae2deb4f131606a62e2d6eb2ae6fa782,afd0109f6c84cf78,cross_split_source_related
source_leakage_0007,p1_02676,test,walking,walking_running,108c1671f345adf640189a0cd417258f965ec05fb381e4378f6ff8d511eb3787,b09d96da78a52d1a,cross_split_source_related
source_leakage_0007,p1_04088,val,walking,walking_running,5ca2cd977822f740a12984aac378d10b4d632c8b522e12ff44fa68723c98b004,b09d96da68a52d5a,cross_split_source_related
