method,family,training_scope,view,role,accuracy,macro_f1,balanced_accuracy,log_loss,brier_score,ece
dino_scale_conditioned_stack,DINOv2-B,V-COCO train,tight and context probabilities plus geometry,selected development champion,0.8777464788732394,0.859400156247392,0.8557524484657447,0.2983117680026055,0.1808313047231912,0.01648452101357
dino_lpft_augmix,DINOv2-B,V-COCO train,"person_tight, aspect-preserving pad",linear-probe then top-block fine-tune,0.8752112676056338,0.858034026361477,0.8552805693081575,0.3250554161531996,0.18863955265554425,0.033777743066554095
dino_factorized_head,DINOv2-B,V-COCO train,tight plus context plus geometry,factorized classifier,0.875774647887324,0.8563495280886585,0.8505091953296025,0.3096455129125683,0.183708500277468,0.0160357876758042
dino_lpft_mild,DINOv2-B,V-COCO train,"person_tight, aspect-preserving pad",linear-probe then top-block fine-tune,0.8718309859154929,0.8560833215848501,0.8592290761638212,0.3283805461704696,0.1906577822740344,0.034748885951061875
dino_frozen_single_view,DINOv2-B,V-COCO train,"person_tight, aspect-preserving pad",best single-view control,0.8695774647887324,0.8475765895663375,0.8389770330072731,0.3148971965713044,0.18959045952568154,0.016355797590813678
dino_flat_same_features,DINOv2-B,V-COCO train,tight plus context plus geometry,factorization control,0.8653521126760564,0.8452820956515238,0.8420567200582346,0.3324838757335524,0.1937127634278304,0.0346604140627394
siglip2_frozen_probe,SigLIP2-B,V-COCO train,"person_context_25, aspect-preserving pad",controlled representation screen,0.8661971830985915,0.8448895330345968,0.8365650447147152,0.3310669691871733,0.19908149547646983,0.012409431799127027
convnext_frozen_probe,ConvNeXt-S,V-COCO train,"person_tight, aspect-preserving pad",controlled representation screen,0.7833802816901408,0.772640211712075,0.7980784903468426,0.5152695080766541,0.30939754001211156,0.047156743128466815
source_dino_tight_pad,DINOv2-B,POLAR source weights; V-COCO validation selected preprocessing,"person_tight, aspect-preserving pad",source-model view control,0.7284507042253521,0.7321245987044952,0.7940405499941837,1.488241970322247,0.4724864119235819,0.21086369465592442
pose_geometry_rbf_oracle,COCO ground-truth pose,V-COCO train,normalized person keypoints plus geometry,diagnostic oracle,0.7166197183098592,0.6954225914460003,0.7034726299206998,0.6277891826184624,0.3838981776879734,0.04018137985768024
historical_source_dino,DINOv2-B,POLAR source only,"person_context_25, legacy center crop",historical baseline,0.6780281690140845,0.687232512488622,0.7560799463159161,1.8447674195643404,0.5594198171496134,0.253204844883767
