method,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece,posture_macro_f1,motion_macro_f1
scale_conditioned_stacking,0.8777464788732394,0.859400156247392,0.8769642400135288,0.8557524484657447,0.2983117680026055,0.1808313047231912,0.01648452101357003,0.9625024658161516,0.8448138004047161
late_mean_tight_context,0.8754929577464788,0.856393753833192,0.8745431976200116,0.8502795052243587,0.3078113843320163,0.18348852351996822,0.012074866342622406,0.9599715472138897,0.8425564157258703
factorized_tight_context_geometry,0.875774647887324,0.8563495280886585,0.8747466296376277,0.8505091953296025,0.3096455129125683,0.18370850027746802,0.016035787675804204,0.9617210534969152,0.841037644237369
flat_tight_context,0.8690140845070422,0.8498653896272992,0.8685362882819972,0.8460006813006299,0.3345687210338011,0.19456353408881868,0.031228375705758496,0.9589194048549794,0.8348810884263389
factorized_context,0.8692957746478873,0.8487779452357579,0.8677812470130101,0.8405484415935152,0.3192437417242633,0.18892730522344536,0.015401709051462157,0.9555988126203059,0.836376788332567
flat_tight,0.8659154929577465,0.8460436482700393,0.8653255229252689,0.8416541816421104,0.33612031224720273,0.19941788564201393,0.021635124230849154,0.9585682820731816,0.8301696691037515
flat_tight_context_geometry,0.8653521126760564,0.8452820956515238,0.8648762920701251,0.8420567200582346,0.3324838757335524,0.1937127634278304,0.03466041406273946,0.9576088182828797,0.8291025258575652
flat_context,0.8614084507042253,0.8414671427756041,0.860523786137714,0.8365295418406475,0.3303401379099217,0.1957398311336847,0.017779805794840908,0.951206177191064,0.8304683420962491
factorized_tight,0.8619718309859155,0.8404406770911551,0.8607767120934936,0.8335152301317801,0.32252317646905,0.1927341293589054,0.014898412410963196,0.9561787569886007,0.824634879725086
locked_v1_dinov2,0.6780281690140845,0.687232512488622,0.6842699165307107,0.7560799463159161,1.8447674195643404,0.5594198171496134,0.253204844883767,0.9270117181030357,0.6794477524046325
