method,class,precision,recall,f1,support
flat_tight,sitting,0.9478260869565217,0.9351763584366063,0.9414587332053743,1049
flat_tight,standing,0.8626929217668973,0.8853085745494266,0.8738544474393531,1831
flat_tight,walking_running,0.7421383647798742,0.7044776119402985,0.7228177641653905,670
flat_context,sitting,0.9338446788111218,0.9285033365109628,0.9311663479923518,1049
flat_context,standing,0.8586609989373007,0.8825778263244128,0.8704551575545381,1831
flat_context,walking_running,0.7488,0.6985074626865672,0.7227799227799228,670
flat_tight_context,sitting,0.9478764478764479,0.9361296472831268,0.9419664268585132,1049
flat_tight_context,standing,0.8670581954084357,0.8869470234844348,0.8768898488120951,1831
flat_tight_context,walking_running,0.7472698907956318,0.7149253731343284,0.7307398932112891,670
flat_tight_context_geometry,sitting,0.9442307692307692,0.9361296472831268,0.9401627573001436,1049
flat_tight_context_geometry,standing,0.8660235798499464,0.8825778263244128,0.8742223424398161,1831
flat_tight_context_geometry,walking_running,0.7360248447204969,0.7074626865671642,0.7214611872146118,670
late_mean_tight_context,sitting,0.9480269489894129,0.9389895138226882,0.9434865900383141,1049
late_mean_tight_context,standing,0.8689910195456947,0.898416166029492,0.8834586466165414,1831
late_mean_tight_context,walking_running,0.7734627831715211,0.7134328358208956,0.7422360248447205,670
scale_conditioned_stacking,sitting,0.9449715370018975,0.9494756911344138,0.9472182596291013,1049
scale_conditioned_stacking,standing,0.8766094420600858,0.892408519934462,0.8844384303112314,1831
scale_conditioned_stacking,walking_running,0.7689873417721519,0.7253731343283583,0.7465437788018433,670
factorized_tight,sitting,0.9448742746615088,0.9313632030505243,0.9380700912145943,1049
factorized_tight,standing,0.853620146904512,0.888585472419443,0.8707519400588708,1831
factorized_tight,walking_running,0.7475409836065574,0.6805970149253732,0.7125,670
factorized_context,sitting,0.9404990403071017,0.9342230695900858,0.937350549976088,1049
factorized_context,standing,0.8589341692789969,0.8978700163844894,0.8779706275033378,1831
factorized_context,walking_running,0.7777777777777778,0.6895522388059702,0.7310126582278481,670
factorized_tight_context_geometry,sitting,0.9482758620689655,0.9437559580552908,0.9460105112279026,1049
factorized_tight_context_geometry,standing,0.8697723663313923,0.8973238667394866,0.8833333333333333,1831
factorized_tight_context_geometry,walking_running,0.7714748784440842,0.7104477611940299,0.7397047397047397,670
locked_v1_dinov2,sitting,0.8955365622032289,0.8989513822688274,0.8972407231208372,1049
locked_v1_dinov2,standing,0.8645937813440321,0.4707809939923539,0.6096181046676096,1831
locked_v1_dinov2,walking_running,0.4013333333333333,0.8985074626865671,0.5548387096774193,670
