method,variable,correctness_spearman_rho,correctness_p_value_unadjusted,confidence_spearman_rho,confidence_p_value_unadjusted
v1,bbox_area_fraction,0.16793493999925188,7.200624542675971e-24,0.10174175294267508,1.2352455988222014e-09
v1,person_pixel_height,0.15025231723279803,2.2510337386664396e-19,0.05778010887641247,0.00057251351254645
source_tight_pad,bbox_area_fraction,0.11642077065885485,3.456379481510527e-12,0.16106833499484705,4.614221127485417e-22
source_tight_pad,person_pixel_height,0.1238019047093755,1.339022047023596e-13,0.13187027823090378,3.0514506102847857e-15
dino_tight_svm,bbox_area_fraction,0.026306951240223583,0.11708273804714706,0.13023507856052546,6.6947852855786564e-15
dino_tight_svm,person_pixel_height,-0.0001444696937896592,0.9931344922620146,0.048857409682028244,0.003594333672358895
dino_context_svm,bbox_area_fraction,0.03828504604695463,0.022540884615838773,0.15353853182633195,3.596581324537524e-20
dino_context_svm,person_pixel_height,0.0043582323503011,0.7951866501272888,0.07221631038097791,1.655644020050024e-05
dino_stack,bbox_area_fraction,0.031988536774505694,0.05668219286019246,0.09458670844501152,1.6390793229987552e-08
dino_stack,person_pixel_height,0.006069699531433492,0.7177107139263997,0.024184686499208744,0.14967730103778445
dino_factorized,bbox_area_fraction,0.030363053542022154,0.07047157099060648,0.06493738674760426,0.0001080276519104653
dino_factorized,person_pixel_height,0.002300906903098128,0.8909958167028057,0.03498996191891481,0.03709911091037172
siglip2,bbox_area_fraction,0.03114050642318264,0.06356677417495847,0.11040297168694002,4.227664060028619e-11
siglip2,person_pixel_height,0.00030964088465817367,0.9852858575173753,0.028931660741139568,0.08478796736262001
convnext,bbox_area_fraction,0.058853144228709214,0.00045083271799796243,0.1237037966007969,1.3999720618869764e-13
convnext,person_pixel_height,0.016251583424884794,0.33303300638045535,0.04450967967201471,0.00799334622197781
