stratum,value,people,reference_errors,champion_errors,reference_to_champion_rescued,reference_to_champion_harmed,context_rescues_tight,context_harms_tight
overall,all,3550,1143,434,934,225,142,153
area_quartile,Q1_small,888,366,125,303,62,39,46
area_quartile,Q2,887,326,99,279,52,29,40
area_quartile,Q3,887,270,109,212,51,39,39
area_quartile,Q4_large,888,181,101,140,60,35,28
height_quartile,Q1_short,888,370,123,305,58,44,40
height_quartile,Q2,887,307,94,260,47,22,41
height_quartile,Q3,887,261,101,217,57,35,32
height_quartile,Q4_tall,888,205,116,152,63,41,40
scene_occupancy,multiple_people,2191,663,263,527,127,95,101
scene_occupancy,single_person,1359,480,171,407,98,47,52
boundary_status,interior_box,2789,956,330,798,172,95,122
boundary_status,touches_boundary,761,187,104,136,53,47,31
source_tag_group,locomotion_with_stand_cotag,612,67,169,36,138,44,53
source_tag_group,locomotion_without_stand_cotag,58,1,15,0,14,4,3
source_tag_group,sit,1049,106,53,87,34,22,29
source_tag_group,stand_only,1831,969,197,811,39,72,68
